

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
784	374	383	393
785	467	476	486
786	584	593	604
787	475	494	484
788	762	781	771
789	199	208	218
790	576	585	595
791	718	737	727
792	103	112	122
793	954	973	964
794	778	787	798
795	193	212	202
796	758	777	767
797	296	305	315
798	770	789	779
799	906	925	915
800	94	103	113
801	475	494	484
802	1009	5	14
803	164	184	174
804	437	446	456
805	233	252	242
806	577	586	596
807	647	656	666
808	120	138	129
809	652	661	672
810	408	417	428
811	890	909	899
812	236	255	245
813	66	85	76
814	135	144	154
815	824	833	843
816	296	315	305
817	948	967	957
818	554	563	574
819	229	238	248
820	125	144	134
821	690	699	709
822	383	402	392
823	225	234	245
824	986	1006	996
825	372	381	392
826	758	777	767
827	827	846	836
828	405	414	424
829	461	481	471
830	530	539	550
831	300	309	319
832	473	482	492
833	917	926	936
834	110	119	130
835	308	327	317
836	75	83	94
837	485	494	504
838	421	430	440
839	338	347	357
840	539	559	549
841	799	808	819
842	184	193	203
843	901	910	921
844	421	430	440
845	659	668	678
846	353	362	372
847	786	795	806
848	25	34	45
849	949	968	958
850	841	850	860
851	500	509	519
852	406	415	425
853	102	111	121
854	962	981	971
855	21	40	30
856	797	816	807
857	165	174	184
858	1002	1011	1021
859	371	380	390
860	528	547	537
861	287	296	306
862	408	418	430
863	864	873	884
864	42	51	61
865	448	457	467
866	795	804	814
867	740	760	750
868	38	46	57
869	701	720	710
870	47	56	66
871	510	535	525
872	364	373	383
873	254	273	263
874	433	452	442
875	223	242	232
876	434	443	453
877	186	205	196
878	713	732	722
879	423	432	442
880	946	965	956
881	615	624	634
882	683	692	702
883	185	205	195
884	992	1011	1001
885	116	125	135
886	651	660	670
887	450	459	470
888	134	143	154
889	330	339	350
890	924	943	933
891	594	603	613
892	9	18	29
893	940	949	960
894	651	671	661
895	511	520	531
896	56	65	75
897	689	702	713
898	23	47	37
899	189	208	198
900	126	135	146
901	26	45	35
902	954	963	974
903	250	259	270
904	127	147	137
905	688	697	707
906	659	678	668
907	751	760	770
908	113	122	132
909	405	414	424
910	851	860	871
911	813	832	822
912	963	973	984
913	448	457	467
914	529	548	538
915	459	468	479
916	101	110	120
917	700	709	719
918	753	761	772
919	222	231	241
920	290	309	299
921	1001	1010	1020
922	817	836	826
923	56	65	76
924	102	111	121
925	824	833	844
926	70	89	79
927	452	471	461
928	814	823	833
929	900	909	920
930	804	813	823
931	889	898	908
932	279	288	299
933	987	996	1006
934	160	169	180
935	821	830	840
936	858	878	868
937	190	209	199
938	391	400	410
939	885	894	904
940	291	300	310
941	963	982	972
942	84	103	93
943	466	485	475
944	601	610	620
945	569	578	589
946	691	710	700
947	742	762	752
948	209	218	228
949	352	361	372
950	857	876	866
951	284	293	303
952	695	714	704
953	749	758	768
954	914	923	934
955	211	230	220
956	906	914	925
957	711	720	730
958	812	821	831
959	231	250	240
960	975	994	984
961	557	577	567
962	584	603	593
963	694	703	713
964	707	716	726
965	341	350	361
966	646	655	666
967	204	213	223
968	830	839	850
969	192	212	202
970	737	756	746
971	5	14	24
972	766	786	776
973	444	453	463
974	575	584	594
975	610	629	619
976	489	498	508
977	823	832	842
978	192	212	202
979	800	809	820
980	693	702	713
981	90	99	109
982	467	476	486
983	308	317	328
984	582	591	601
985	635	654	644
986	396	405	415
987	180	189	200
988	30	39	49
989	468	487	477
990	755	774	764
991	910	929	919
992	584	603	593
993	887	896	907
994	353	372	362
995	171	191	181
996	731	740	751
997	721	740	730
998	412	421	432
999	846	855	866
